provider,case,wire_bytes,decoded_bytes,content_encoding,http_seconds,status_code,raw_json_bytes,normalized_bytes,agent_body_bytes,original_items,returned_items,truth_expected,truth_retained,truth_retention_ratio,contract_valid,contract_reason,transform_seconds_median,transform_peak_bytes,cycle,observed_at
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.03179758199257776,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0014838749775663018,57889,18,2026-08-02T11:40:24+00:00
prometheus,baseline,1502,53178,gzip,0.004732208006316796,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004293124977266416,175505,18,2026-08-02T11:40:24+00:00
loki,baseline,976,7043,gzip,0.007663750002393499,200,7041,14161,14279,20,20,4,4,1.0,True,accepted,0.0028711660124827176,15951,18,2026-08-02T11:40:24+00:00
tempo,baseline,721,721,identity,0.00723362501594238,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.00030554100521840155,5538,18,2026-08-02T11:40:24+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.04352758408640511,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0015341670077759773,57889,19,2026-08-02T11:40:54+00:00
prometheus,baseline,1502,53178,gzip,0.0077535420132335275,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004333875025622547,175505,19,2026-08-02T11:40:54+00:00
loki,baseline,974,7043,gzip,0.012762291997205466,200,7041,14161,14279,20,20,4,4,1.0,True,accepted,0.002928166009951383,15951,19,2026-08-02T11:40:54+00:00
tempo,baseline,721,721,identity,0.044357582984957844,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0003066670033149421,5538,19,2026-08-02T11:40:54+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.028682124975603074,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0015064170002005994,57889,20,2026-08-02T11:41:24+00:00
prometheus,baseline,1502,53178,gzip,0.010242583026411012,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.0041049999999813735,175505,20,2026-08-02T11:41:24+00:00
loki,baseline,977,7044,gzip,0.013769375014817342,200,7043,14161,14279,20,20,4,4,1.0,True,accepted,0.002796499989926815,17294,20,2026-08-02T11:41:24+00:00
tempo,baseline,721,721,identity,0.012146749999374151,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.00029624998569488525,5538,20,2026-08-02T11:41:24+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.028683539014309645,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0015472079976461828,57889,21,2026-08-02T11:41:54+00:00
prometheus,baseline,1502,53178,gzip,0.011754208011552691,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.00420195801416412,175505,21,2026-08-02T11:41:54+00:00
loki,baseline,978,7044,gzip,0.018437999999150634,200,7043,14161,14279,20,20,4,4,1.0,True,accepted,0.003009249980095774,15951,21,2026-08-02T11:41:54+00:00
tempo,baseline,721,721,identity,0.018114375008735806,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.000318166014039889,5538,21,2026-08-02T11:41:54+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.05582816695095971,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0016040829941630363,57889,22,2026-08-02T11:42:24+00:00
prometheus,baseline,1502,53178,gzip,0.015820291999261826,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004481082985876128,175505,22,2026-08-02T11:42:24+00:00
loki,baseline,975,7043,gzip,0.01791462500113994,200,7042,14161,14279,20,20,4,4,1.0,True,accepted,0.0028919170144945383,17106,22,2026-08-02T11:42:24+00:00
tempo,baseline,721,721,identity,0.029020291985943913,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.00030566699570044875,5538,22,2026-08-02T11:42:24+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.03785637495457195,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.001796708005713299,57889,23,2026-08-02T11:42:54+00:00
prometheus,baseline,1502,53178,gzip,0.006386708002537489,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.00451600001542829,175505,23,2026-08-02T11:42:54+00:00
loki,baseline,975,7043,gzip,0.01243820899981074,200,7042,14161,14279,20,20,4,4,1.0,True,accepted,0.005107166973175481,15951,23,2026-08-02T11:42:54+00:00
tempo,baseline,721,721,identity,0.008564916992327198,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0004199579998385161,5538,23,2026-08-02T11:42:54+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.054713206976884976,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0017139579867944121,57889,24,2026-08-02T11:43:24+00:00
prometheus,baseline,1502,53178,gzip,0.009497249993728474,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004528416000539437,175505,24,2026-08-02T11:43:24+00:00
loki,baseline,977,7044,gzip,0.01858033298049122,200,7043,14161,14279,20,20,4,4,1.0,True,accepted,0.0037095420120749623,15951,24,2026-08-02T11:43:24+00:00
tempo,baseline,721,721,identity,0.01428404200123623,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.00031595799373462796,5538,24,2026-08-02T11:43:24+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.04783104298985563,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0017377920157741755,57889,25,2026-08-02T11:43:54+00:00
prometheus,baseline,1502,53178,gzip,0.012920916982693598,200,52928,55704,55834,250,250,1,1,1.0,True,accepted,0.004660750011680648,175005,25,2026-08-02T11:43:54+00:00
loki,baseline,978,7044,gzip,0.020784500025911257,200,7043,14161,14279,20,20,4,4,1.0,True,accepted,0.0029300000169314444,15951,25,2026-08-02T11:43:54+00:00
tempo,baseline,721,721,identity,0.01762966701062396,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0003040420124307275,5538,25,2026-08-02T11:43:54+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.04109795903787017,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0017023750115185976,57889,26,2026-08-02T11:44:24+00:00
prometheus,baseline,1502,53178,gzip,0.012475249997805804,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.0042887919989880174,175505,26,2026-08-02T11:44:24+00:00
loki,baseline,976,7044,gzip,0.02121016598539427,200,7043,14161,14279,20,20,4,4,1.0,True,accepted,0.0029144999862182885,16891,26,2026-08-02T11:44:24+00:00
tempo,baseline,721,721,identity,0.11947858400526457,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0003023330064024776,5538,26,2026-08-02T11:44:24+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.031556664034724236,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0014595839893445373,57889,27,2026-08-02T11:44:54+00:00
prometheus,baseline,1502,53178,gzip,0.0071280410047620535,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.0042892089986708015,175505,27,2026-08-02T11:44:54+00:00
loki,baseline,976,7043,gzip,0.009771999990334734,200,7042,14161,14279,20,20,4,4,1.0,True,accepted,0.002934041986009106,16515,27,2026-08-02T11:44:54+00:00
tempo,baseline,721,721,identity,0.010889500001212582,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0003491249808575958,5538,27,2026-08-02T11:44:54+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.03597691602772102,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0015317499928642064,57889,28,2026-08-02T11:45:24+00:00
prometheus,baseline,1502,53178,gzip,0.01028658400173299,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004342041997006163,175505,28,2026-08-02T11:45:24+00:00
loki,baseline,977,7044,gzip,0.01648674998432398,200,7043,14161,14279,20,20,4,4,1.0,True,accepted,0.003001042001415044,15951,28,2026-08-02T11:45:24+00:00
tempo,baseline,721,721,identity,0.014654625003458932,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.00028654199559241533,5538,28,2026-08-02T11:45:24+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.03517016800469719,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.001911208004457876,57889,29,2026-08-02T11:45:54+00:00
prometheus,baseline,1502,53178,gzip,0.01193987499573268,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.0042964169988408685,175505,29,2026-08-02T11:45:54+00:00
loki,baseline,978,7044,gzip,0.016232666006544605,200,7043,14161,14279,20,20,4,4,1.0,True,accepted,0.0029247920028865337,15951,29,2026-08-02T11:45:54+00:00
tempo,baseline,721,721,identity,0.020113625010708347,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0003057919966522604,5538,29,2026-08-02T11:45:54+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.029323542985366657,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0017188329948112369,57889,30,2026-08-02T11:46:24+00:00
prometheus,baseline,1501,53178,gzip,0.009672624990344048,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004264124989276752,175505,30,2026-08-02T11:46:24+00:00
loki,baseline,976,7044,gzip,0.010545666998950765,200,7043,14161,14279,20,20,4,4,1.0,True,accepted,0.0027476669929455966,16589,30,2026-08-02T11:46:24+00:00
tempo,baseline,721,721,identity,0.008561374997952953,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0002996249822899699,5538,30,2026-08-02T11:46:24+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.03285558498464525,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.001553582987980917,57889,31,2026-08-02T11:46:54+00:00
prometheus,baseline,1501,53178,gzip,0.0071109999844338745,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004244834010023624,175505,31,2026-08-02T11:46:54+00:00
loki,baseline,977,7044,gzip,0.009571000002324581,200,7043,14161,14279,20,20,4,4,1.0,True,accepted,0.0030960830044932663,17361,31,2026-08-02T11:46:54+00:00
tempo,baseline,721,721,identity,0.010262374999001622,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0003141250053886324,5538,31,2026-08-02T11:46:54+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.03513495795777999,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.001555291994009167,57889,32,2026-08-02T11:47:24+00:00
prometheus,baseline,1502,53178,gzip,0.009610999986762181,200,52928,55704,55834,250,250,1,1,1.0,True,accepted,0.004195165995042771,175005,32,2026-08-02T11:47:24+00:00
loki,baseline,977,7044,gzip,0.011228957999264821,200,7043,14161,14279,20,20,4,4,1.0,True,accepted,0.0028516250022221357,15951,32,2026-08-02T11:47:24+00:00
tempo,baseline,721,721,identity,0.014654124999651685,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.00030329200671985745,5538,32,2026-08-02T11:47:24+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.03763995895860717,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0017576669924892485,57889,33,2026-08-02T11:47:54+00:00
prometheus,baseline,1501,53178,gzip,0.009528666007099673,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004274042003089562,175505,33,2026-08-02T11:47:54+00:00
loki,baseline,976,7043,gzip,0.015491458005271852,200,7042,14161,14279,20,20,4,4,1.0,True,accepted,0.0028255409852135926,15951,33,2026-08-02T11:47:54+00:00
tempo,baseline,721,721,identity,0.00901045900536701,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0002924590080510825,5538,33,2026-08-02T11:47:54+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.08531012505409308,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0014310419792309403,58057,34,2026-08-02T11:48:24+00:00
